personid,gendername,racename,statename,incomebracket,lifeexp,year
1,Female,White,Alabama,1to25000,78,2008
2,Female,White,Alabama,1to25000,78,2009
3,Female,White,Alabama,1to25000,78,2010
4,Female,White,Alabama,1to25000,78,2011
5,Female,White,Alabama,1to25000,78,2012
6,Female,White,Alabama,1to25000,78,2013
7,Female,White,Alabama,1to25000,78,2014
8,Female,White,Alabama,1to25000,78,2015
9,Female,White,Alabama,1to25000,78,2016
10,Female,White,Alabama,1to25000,78,2017
11,Female,White,Alabama,25000to50000,79,2008
12,Female,White,Alabama,25000to50000,79,2009
13,Female,White,Alabama,25000to50000,80,2010
14,Female,White,Alabama,25000to50000,80,2011
15,Female,White,Alabama,25000to50000,80,2012
16,Female,White,Alabama,25000to50000,80,2013
17,Female,White,Alabama,25000to50000,80,2014
18,Female,White,Alabama,25000to50000,79,2015
19,Female,White,Alabama,25000to50000,79,2016
20,Female,White,Alabama,25000to50000,79,2017
21,Female,White,Alabama,50001to75000,80,2008
22,Female,White,Alabama,50001to75000,80,2009
23,Female,White,Alabama,50001to75000,80,2010
24,Female,White,Alabama,50001to75000,80,2011
25,Female,White,Alabama,50001to75000,80,2012
26,Female,White,Alabama,50001to75000,80,2013
27,Female,White,Alabama,50001to75000,80,2014
28,Female,White,Alabama,50001to75000,80,2015
29,Female,White,Alabama,50001to75000,80,2016
30,Female,White,Alabama,50001to75000,80,2017
31,Female,White,Alabama,75001andmore,81,2008
32,Female,White,Alabama,75001andmore,81,2009
33,Female,White,Alabama,75001andmore,81,2010
34,Female,White,Alabama,75001andmore,81,2011
35,Female,White,Alabama,75001andmore,81,2012
36,Female,White,Alabama,75001andmore,81,2013
37,Female,White,Alabama,75001andmore,81,2014
38,Female,White,Alabama,75001andmore,81,2015
39,Female,White,Alabama,75001andmore,81,2016
40,Female,White,Alabama,75001andmore,81,2017
41,Female,White,Alaska,1to25000,79,2008
42,Female,White,Alaska,1to25000,79,2009
43,Female,White,Alaska,1to25000,79,2010
44,Female,White,Alaska,1to25000,79,2011
45,Female,White,Alaska,1to25000,79,2012
46,Female,White,Alaska,1to25000,79,2013
47,Female,White,Alaska,1to25000,79,2014
48,Female,White,Alaska,1to25000,79,2015
49,Female,White,Alaska,1to25000,79,2016
50,Female,White,Alaska,1to25000,79,2017
51,Female,White,Alaska,25000to50000,81,2008
52,Female,White,Alaska,25000to50000,81,2009
53,Female,White,Alaska,25000to50000,81,2010
54,Female,White,Alaska,25000to50000,81,2011
55,Female,White,Alaska,25000to50000,81,2012
56,Female,White,Alaska,25000to50000,81,2013
57,Female,White,Alaska,25000to50000,81,2014
58,Female,White,Alaska,25000to50000,81,2015
59,Female,White,Alaska,25000to50000,81,2016
60,Female,White,Alaska,25000to50000,81,2017
61,Female,White,Alaska,50001to75000,81,2008
62,Female,White,Alaska,50001to75000,81,2009
63,Female,White,Alaska,50001to75000,81,2010
64,Female,White,Alaska,50001to75000,81,2011
65,Female,White,Alaska,50001to75000,81,2012
66,Female,White,Alaska,50001to75000,81,2013
67,Female,White,Alaska,50001to75000,81,2014
68,Female,White,Alaska,50001to75000,81,2015
69,Female,White,Alaska,50001to75000,81,2016
70,Female,White,Alaska,50001to75000,81,2017
71,Female,White,Alaska,75001andmore,81,2008
72,Female,White,Alaska,75001andmore,81,2009
73,Female,White,Alaska,75001andmore,81,2010
74,Female,White,Alaska,75001andmore,81,2011
75,Female,White,Alaska,75001andmore,81,2012
76,Female,White,Alaska,75001andmore,81,2013
77,Female,White,Alaska,75001andmore,81,2014
78,Female,White,Alaska,75001andmore,81,2015
79,Female,White,Alaska,75001andmore,81,2016
80,Female,White,Alaska,75001andmore,81,2017
81,Female,White,Arizona,1to25000,79,2008
82,Female,White,Arizona,1to25000,79,2009
83,Female,White,Arizona,1to25000,79,2010
84,Female,White,Arizona,1to25000,79,2011
85,Female,White,Arizona,1to25000,79,2012
86,Female,White,Arizona,1to25000,79,2013
87,Female,White,Arizona,1to25000,79,2014
88,Female,White,Arizona,1to25000,79,2015
89,Female,White,Arizona,1to25000,79,2016
90,Female,White,Arizona,1to25000,79,2017
91,Female,White,Arizona,25000to50000,80,2008
92,Female,White,Arizona,25000to50000,80,2009
